City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Saldanha,ZA,-33.01,17.94,60.8,51,0,20.8,clear sky
131,Casa Nova,BR,-9.42,-41.13,87.8,45,40,13.87,scattered clouds
132,Georgetown,MY,5.41,100.34,78.8,88,20,2.93,few clouds
133,Havelock,US,34.88,-76.9,75.99,89,72,10.83,broken clouds
134,Hervey Bay,AU,-25.3,152.85,63.0,71,61,1.01,broken clouds
135,Kikuyu,KE,-1.25,36.66,69.8,68,20,11.41,few clouds
136,Ponta Do Sol,PT,32.67,-17.1,68.0,60,40,10.29,scattered clouds
137,Tateyama,JP,34.98,139.87,54.0,32,43,11.9,scattered clouds
138,Tuxtla Gutierrez,MX,16.75,-93.12,77.0,73,20,4.7,few clouds
139,Zile,TR,40.3,35.89,48.2,57,0,2.24,clear sky
140,Mocuba,MZ,-16.84,36.99,87.6,44,17,10.13,few clouds
141,Moron,AR,-34.65,-58.62,73.99,54,100,3.0,overcast clouds
142,Saint-Leu,RE,-21.15,55.28,75.2,73,0,10.29,clear sky
143,Biltine,TD,14.53,20.92,85.44,21,8,9.22,clear sky
144,Kisangani,CD,0.52,25.2,76.48,82,85,2.95,overcast clouds
145,Paragominas,BR,-2.97,-47.48,85.15,74,97,5.28,overcast clouds
146,Victoria,HK,22.29,114.16,73.99,73,100,14.72,light rain
147,Kavieng,PG,-2.57,150.8,81.12,76,58,5.26,light rain
148,Zyryanka,RU,65.75,150.85,-8.23,91,100,6.91,overcast clouds
149,Shirokiy,RU,49.76,129.52,8.08,92,0,5.14,clear sky
150,Tuatapere,NZ,-46.13,167.68,40.87,91,8,3.31,clear sky
151,Luderitz,NA,-26.65,15.16,66.18,47,0,35.23,clear sky
152,Namibe,AO,-15.2,12.15,72.91,73,2,8.39,clear sky
153,Belmonte,BR,-15.86,-38.88,84.2,58,20,16.11,few clouds
154,Luxor,EG,25.7,32.64,75.2,44,0,2.24,clear sky
155,Ambulu,ID,-8.35,113.61,77.07,85,97,3.27,overcast clouds
156,Sechura,PE,-5.56,-80.82,77.02,47,77,8.34,broken clouds
157,Eureka,US,40.8,-124.16,35.01,86,1,5.82,clear sky
158,Karratha,AU,-20.74,116.85,71.38,53,0,15.23,light rain
159,San Borja,BO,-14.82,-66.85,101.66,29,28,6.33,scattered clouds
160,Jalu,LY,29.03,21.55,65.01,61,17,8.7,few clouds
161,Hamilton,US,39.18,-84.53,73.99,56,1,3.36,clear sky
