City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1003,Mizque,BO,80.19,light rain,-17.94,-65.34,Hotel Mizque
1006,Cukai,MY,77.0,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
1007,Jamame,SO,80.26,scattered clouds,0.07,42.75,
1014,Pampierstad,ZA,82.58,broken clouds,-27.78,24.69,BAROLONG METHODIST CHURCH
1015,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
1016,Gawler,AU,79.0,light rain,-34.6,138.73,Eagle Foundry Bed & Breakfast
1018,Praya,CV,84.2,clear sky,14.92,-23.51,LT Aparthotel
1021,Lumeje,AO,81.07,broken clouds,-11.55,20.78,
1025,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
1026,Sambava,MG,75.72,light rain,-14.27,50.17,Melrose
1029,Tecoanapa,MX,85.57,scattered clouds,16.52,-98.75,Hotel Manglares
1032,Kribi,CM,79.05,broken clouds,2.95,9.92,Les Vagues bleues
1037,West Bay,KY,81.0,broken clouds,19.37,-81.42,Calypso Cove
1040,Catia La Mar,VE,86.18,overcast clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
1045,Union De Tula,MX,75.69,clear sky,19.97,-104.27,Hotel San Gabriel
1046,Ormond Beach,US,75.2,moderate rain,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
1048,Marihatag,PH,77.67,overcast clouds,8.79,126.3,Mariner's Place & Resort
1050,Boa Vista,BR,87.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
1053,Richmond,US,75.99,few clouds,37.55,-77.46,Holiday Inn Express Richmond - Downtown
1055,Jeremoabo,BR,85.06,broken clouds,-10.07,-38.48,
1057,Tombouctou,ML,89.19,scattered clouds,20.0,-3.0,
1058,Bara,NG,89.6,haze,10.37,10.73,
1059,Ganta,LR,83.41,broken clouds,7.3,-8.53,
1062,Biak,ID,76.73,overcast clouds,-0.91,122.88,Kost Ariz
1065,Miraflores,MX,75.2,clear sky,19.22,-98.81,Hotel Mansión
1068,Maiduguri,NG,81.55,scattered clouds,11.85,13.16,College of Nursing & Midwifery Female's Hostel
1079,Aguie,NE,81.9,broken clouds,13.51,7.78,
1082,Nacozari,MX,82.99,clear sky,25.34,-108.26,
1085,Tsabong,BW,86.47,broken clouds,-26.02,22.4,Springbok Motel
1086,Riohacha,CO,85.77,scattered clouds,11.54,-72.91,Hotel Taroa
1087,Osmena,PH,82.08,moderate rain,10.52,119.93,Arjemarkyza Lodge
1090,Santa Rosa De Aguan,HN,78.8,broken clouds,15.95,-85.72,
1096,Balikpapan,ID,78.37,broken clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
1102,Kabalo,CD,76.68,light rain,-6.05,26.92,
1103,Fonte Boa,BR,82.85,moderate rain,-2.5,-66.27,
1109,Tessaoua,NE,82.71,scattered clouds,13.76,7.99,Benin Dan Kaabou Heberge
1111,Jaru,BR,86.58,light rain,-10.44,-62.47,Hotel Paraná
1113,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
1115,Phalodi,IN,76.82,clear sky,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
1117,Trincomalee,LK,81.81,moderate rain,8.57,81.23,Welcombe Hotel
1121,Ciudad Bolivar,VE,85.84,light rain,8.12,-63.55,Hotel Edi
1123,Lagos,NG,86.0,broken clouds,6.58,3.75,
